TourType,CEP,Depot_ID,Tour_ID,Trip_ID,Unique_ID,O_zone,D_zone,N_parcels,Traveltime,TourDepTime,TripDepTime,TripEndTime,Type,TourDist,VehType,OrigType,DestType
0,PostNL,1,1.0_84,1.0_84_0,1.0_84_0_0,2668,559,180,0.2833333333333333,8.720324493442158,8.72,0.0,Delivery,14.321,Van,Depot,HH
0,PostNL,1,1.0_84,1.0_84_1,1.0_84_1_0,559,2668,0,0.2613888888888889,8.720324493442158,15.004,0.0,Delivery,13.994,Van,Depot,HH
0,PostNL,1,1.0_85,1.0_85_0,1.0_85_0_0,2668,559,180,0.2833333333333333,0.3023325726318397,0.302,0.0,Delivery,14.321,Van,Depot,HH
0,PostNL,1,1.0_85,1.0_85_1,1.0_85_1_0,559,2668,0,0.2613888888888889,0.3023325726318397,6.586,0.0,Delivery,13.994,Van,Depot,HH
0,PostNL,1,1.0_86,1.0_86_0,1.0_86_0_0,2668,559,180,0.2833333333333333,7.092338594768798,7.092,0.0,Delivery,14.321,Van,Depot,HH
0,PostNL,1,1.0_86,1.0_86_1,1.0_86_1_0,559,2668,0,0.2613888888888889,7.092338594768798,13.376,0.0,Delivery,13.994,Van,Depot,HH
0,PostNL,1,1.0_87,1.0_87_0,1.0_87_0_0,2668,559,180,0.2833333333333333,7.345560727043048,7.346,0.0,Delivery,14.321,Van,Depot,HH
0,PostNL,1,1.0_87,1.0_87_1,1.0_87_1_0,559,2668,0,0.2613888888888889,7.345560727043048,13.629,0.0,Delivery,13.994,Van,Depot,HH
0,PostNL,1,1.0_88,1.0_88_0,1.0_88_0_0,2668,559,180,0.2833333333333333,8.538816734003357,8.539,0.0,Delivery,14.321,Van,Depot,HH
0,PostNL,1,1.0_88,1.0_88_1,1.0_88_1_0,559,2668,0,0.2613888888888889,8.538816734003357,14.822,0.0,Delivery,13.994,Van,Depot,HH
0,PostNL,1,1.0_89,1.0_89_0,1.0_89_0_0,2668,2341,180,0.1866666666666666,8.685219500396759,8.685,0.0,Delivery,5.607,Van,Depot,HH
0,PostNL,1,1.0_89,1.0_89_1,1.0_89_1_0,2341,2668,0,0.1936111111111111,8.685219500396759,14.872,0.0,Delivery,6.099,Van,Depot,HH
0,PostNL,1,1.0_90,1.0_90_0,1.0_90_0_0,2668,2375,180,0.1891666666666666,7.878117436390945,7.878,0.0,Delivery,5.383,Van,Depot,HH
0,PostNL,1,1.0_90,1.0_90_1,1.0_90_1_0,2375,2668,0,0.1966666666666666,7.878117436390945,14.067,0.0,Delivery,5.371,Van,Depot,HH
0,PostNL,1,1.0_94,1.0_94_0,1.0_94_0_0,2668,942,14,0.2436111111111111,2.670467510178402,2.67,0.0,Delivery,12.277,Van,Depot,HH
0,PostNL,1,1.0_94,1.0_94_1,1.0_94_1_0,942,1380,48,0.09,2.670467510178402,3.381,0.0,Delivery,1.309,Van,Depot,HH
0,PostNL,1,1.0_94,1.0_94_2,1.0_94_2_0,1380,1377,14,0.0577777777777777,2.670467510178402,5.071,0.0,Delivery,1.056,Van,Depot,HH
0,PostNL,1,1.0_94,1.0_94_3,1.0_94_3_0,1377,1366,16,0.1602777777777777,2.670467510178402,5.595,0.0,Delivery,2.139,Van,Depot,HH
0,PostNL,1,1.0_94,1.0_94_4,1.0_94_4_0,1366,1376,37,0.1547222222222222,2.670467510178402,6.289,0.0,Delivery,1.58,Van,Depot,HH
0,PostNL,1,1.0_94,1.0_94_5,1.0_94_5_0,1376,1375,26,0.0405555555555555,2.670467510178402,7.677,0.0,Delivery,0.413,Van,Depot,HH
0,PostNL,1,1.0_94,1.0_94_6,1.0_94_6_0,1375,1378,6,0.0686111111111111,2.670467510178402,8.584,0.0,Delivery,1.506,Van,Depot,HH
0,PostNL,1,1.0_94,1.0_94_7,1.0_94_7_0,1378,1365,7,0.1075,2.670467510178402,8.853,0.0,Delivery,1.756,Van,Depot,HH
0,PostNL,1,1.0_94,1.0_94_8,1.0_94_8_0,1365,1354,2,0.1469444444444444,2.670467510178402,9.194,0.0,Delivery,5.058,Van,Depot,HH
0,PostNL,1,1.0_94,1.0_94_9,1.0_94_9_0,1354,1362,5,0.0444444444444444,2.670467510178402,9.407,0.0,Delivery,3.312,Van,Depot,HH
0,PostNL,1,1.0_94,1.0_94_10,1.0_94_10_0,1362,1353,3,0.1297222222222222,2.670467510178402,9.618,0.0,Delivery,7.448,Van,Depot,HH
0,PostNL,1,1.0_94,1.0_94_11,1.0_94_11_0,1353,1361,1,0.0975,2.670467510178402,9.848,0.0,Delivery,9.174,Van,Depot,HH
0,PostNL,1,1.0_94,1.0_94_12,1.0_94_12_0,1361,2668,0,0.2897222222222222,2.670467510178402,9.979,0.0,Delivery,16.773,Van,Depot,HH
0,PostNL,1,1.0_95,1.0_95_0,1.0_95_0_0,2668,44,21,0.3455555555555555,8.558689828445752,8.559,0.0,Delivery,18.644,Van,Depot,HH
0,PostNL,1,1.0_95,1.0_95_1,1.0_95_1_0,44,49,99,0.0394444444444444,8.558689828445752,9.604,0.0,Delivery,0.98,Van,Depot,HH
0,PostNL,1,1.0_95,1.0_95_2,1.0_95_2_0,49,51,11,0.0558333333333333,8.558689828445752,12.944,0.0,Delivery,1.271,Van,Depot,HH
0,PostNL,1,1.0_95,1.0_95_3,1.0_95_3_0,51,50,11,0.03,8.558689828445752,13.366,0.0,Delivery,0.772,Van,Depot,HH
0,PostNL,1,1.0_95,1.0_95_4,1.0_95_4_0,50,52,10,0.0291666666666666,8.558689828445752,13.763,0.0,Delivery,0.946,Van,Depot,HH
