zone,naam,1: woningen,2: inwoners,3: inwon0034,4: bbv,5: llp12eo,6: detail,7: industrie,8: rest,9: arbeidspl_totaal,10: gebiedstype,11: intrazonaal,12: vrachtformule,13: autosperhh,14: v_os_auto,15: a_os_auto,16: v_as_auto,17: a_as_auto,18: v_rd_auto,19: a_rd_auto,20: va_mz_os,21: va_mz_as,22: va_mz_rd,23: va_zw_os,24: va_zw_as,25: va_zw_rd,26: inwon0011,27: llp0011
1,s-Gravenhage,11,33,12.00484663,13.48712444,0,0,0,111.8057006,111.8057006,1,0,1,0.995299217,0,0,0,0,0,0,0,0,0,0,0,0,3.997985078,0
2,s-Gravenhage,0,0,0,0,0,0,0,1036.754286,1036.754286,1,0,1,0.405890531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,s-Gravenhage,130.5714286,173.8571429,63.38904448,69.99094239,0,0,0,9.064755379,9.064755379,1,0,1,1.01826766,0,0,0,0,0,0,0,0,0,0,0,0,20.64744558,0
4,s-Gravenhage,128.5714286,160.8571429,58.72479754,64.82068991,0,0,0,53.4029245,53.4029245,1,0,1,1.018626542,0,0,0,0,0,0,0,0,0,0,0,0,19.15040384,0
5,s-Gravenhage,209.5714286,261.8571429,95.2591117,105.8137504,0,0,0,89.6441022,89.6441022,1,0,1,1.019110203,0,0,0,0,0,0,0,0,0,0,0,0,31.30873912,0
6,s-Gravenhage,42.57142857,81.85714286,29.6222859,33.10475998,0,1.002285714,1.002285714,6.108237141,8.112808569,1,0,1,1.018996817,0,0,0,0,0,0,0,0,0,0,0,0,9.657391944,0
7,s-Gravenhage,221.2857143,415,150.0856023,166.6467864,0,176.5839882,8.408761341,163.3657143,348.3584638,1,0,1,1.01844571,0,0,0,0,0,0,0,0,0,0,0,0,49.2262926,0
8,s-Gravenhage,0.962630085,1.92526017,0.875613087,0.895681658,0,0,0,0,0,1,0,1,0.405890531,0,0,0,0,0,0,0,0,0,0,0,0,0.276915064,0
9,s-Gravenhage,202.5714286,374.8571429,136.6263571,151.2826484,0,1.002285714,0,17.26992445,18.27221016,1,0,1,1.019935336,0,0,0,0,0,0,0,0,0,0,0,0,44.45335469,0
10,s-Gravenhage,210.5714286,432.8571429,157.6998105,174.8444342,0,3.042245234,1.002285714,32.45061583,36.49514678,1,0,1,1.018996817,0,0,0,0,0,0,0,0,0,0,0,0,51.36323322,0
11,s-Gravenhage,224.5714286,429.8571429,156.4915777,173.618332,0,0,0,35.52847934,35.52847934,1,0,1,1.021959017,0,0,0,0,0,0,0,0,0,0,0,0,51.11666315,0
12,s-Gravenhage,70.57142857,163.8571429,59.50445892,66.04679213,0,0,0,13.28545048,13.28545048,1,0,1,1.023736337,0,0,0,0,0,0,0,0,0,0,0,0,19.39697391,0
13,s-Gravenhage,319.5714286,721.9252602,304.137202,317.4459291,0,13.15563037,0,71.84998127,85.00561164,1,0,1,1.007779458,0,0,0,0,0,0,0,0,0,0,0,0,112.1680181,0
14,s-Gravenhage,237.5714286,423.9252602,154.690838,171.3673942,0,34.3522598,2.004571429,1648.90847,1685.265302,1,0,1,1.020496666,208.8899591,208.8899591,208.8899591,208.8899591,1671.051288,1671.051288,0,0,0,0,0,0,50.38967662,0
15,s-Gravenhage,267.5714286,690.9252602,281.5092725,286.9190633,0,10.19379341,1.002285714,50.96896704,62.16504617,1,0,1,1.017665492,0,0,0,0,0,0,0,0,0,0,0,0,109.6201273,0
16,s-Gravenhage,139.5714286,348.9252602,142.0564463,145.0005529,0,6.060821389,1.002285714,155.5610823,162.6241894,1,0,1,1.016780495,0,0,0,0,0,0,0,0,0,0,0,0,55.36828196,734.5028571
17,s-Gravenhage,145.5714286,404.9252602,170.3244112,178.3163658,0,0,0,29.36373409,29.36373409,1,0,1,1.009027482,0,0,0,0,0,0,0,0,0,0,0,0,62.97092331,0
18,s-Gravenhage,51.57142857,87.92526017,36.94019176,38.75823106,0,0,0,1.011950423,1.011950423,1,0,1,1.014814888,0,0,0,0,0,0,0,0,0,0,0,0,13.77382856,0
19,s-Gravenhage,168.5714286,326.9252602,137.6246438,143.8662795,0,2.039503117,0,19.37527962,21.41478273,1,0,1,1.007148017,0,0,0,0,0,0,0,0,0,0,0,0,50.56010143,0
20,s-Gravenhage,142.5714286,372.7053104,166.1937037,172.2784728,0,2.004571429,0,50.6616667,52.66623813,1,0,1,1.009317516,0,0,0,0,0,0,0,0,0,0,0,0,59.02349232,0
21,s-Gravenhage,57,144,64.70220147,66.64937837,0,0,1.418938954,80.87952036,82.29845931,1,0,1,1.022199196,0,0,0,0,0,0,0,0,0,0,0,0,21.89791725,0
22,s-Gravenhage,32.14285714,68.28571429,30.38822593,31.71592993,976.2765714,1.002285714,7.147012278,154.1712649,162.3205629,1,0,1,0.995299217,0,0,0,0,0,0,0,0,0,0,0,0,10.77872618,0
23,s-Gravenhage,18.57456829,46.69167975,19.40013686,19.71708326,0,0,0,17.46742857,17.46742857,1,0,1,0.995299217,0,0,0,0,0,0,0,0,0,0,0,0,7.373367304,0
24,s-Gravenhage,91.57142857,240.9252602,98.13149369,100.0037301,631.4765714,2.004571429,0,135.454074,137.4586454,1,0,1,1.017173925,0,0,0,0,0,0,0,0,0,0,0,0,38.34890223,0
25,s-Gravenhage,13.96263009,25.92526017,9.684332717,10.70449943,0,0,0,2792.782857,2792.782857,1,0,1,0.995299217,0,0,0,0,0,0,0,0,0,0,0,0,3.106618497,0
26,s-Gravenhage,0.962630085,1.92526017,0.875613087,0.895681658,0,0,6.097698938,50.81415782,56.91185675,1,0,1,0.405890531,0,0,0,0,0,0,0,0,0,0,0,0,0.276915064,0
27,s-Gravenhage,218.9626301,389.9252602,142.4261043,157.6144261,0,1.002285714,12.1853364,34.5251198,47.71274191,1,0,1,1.018127181,0,0,0,0,0,0,0,0,0,0,0,0,46.30950152,0
28,s-Gravenhage,79.96263009,257.9252602,94.40671772,104.0944998,0,2.004571429,2.004571429,174.7229271,178.7320699,1,0,1,1.020496666,0,0,0,0,0,0,0,0,0,0,0,0,30.74613264,0
29,s-Gravenhage,63.96263009,173.9252602,63.57619901,70.19220903,0,1.002285714,0,77.63707591,78.63936163,1,0,1,1.026896018,0,0,0,0,0,0,0,0,0,0,0,0,20.84217062,435.7388571
30,s-Gravenhage,57.57456829,126.6916797,52.19110706,52.98457107,0,1.002285714,0,33.50586667,34.50815239,1,0,1,1.014078448,0,0,0,0,0,0,0,0,0,0,0,0,19.94856922,0
31,s-Gravenhage,8.574568289,18.69167975,7.837583005,7.987748237,0,0,0,1414.646857,1414.646857,1,0,1,0.995299217,0,0,0,0,0,0,0,0,0,0,0,0,2.92918949,0
32,s-Gravenhage,64,153.6916797,63.06520235,64.01949106,0,2.004571429,0,93.45874484,95.46331627,1,0,1,1.024572723,0,0,0,0,0,0,0,0,0,0,0,0,24.31055701,0
33,s-Gravenhage,117,263.6916797,107.9385007,109.9765725,0,3.040599522,0,97.29918469,100.3397842,1,0,1,1.019976057,0,0,0,0,0,0,0,0,0,0,0,0,41.92288823,0
34,s-Gravenhage,116,252.6916797,103.3654565,105.3380072,0,0,2.004571429,120.8403332,122.8449046,1,0,1,1.020181697,0,0,0,0,0,0,0,0,0,0,0,0,40.1616551,0
35,s-Gravenhage,166.0031397,288.2631083,127.2250335,131.1087278,0,2.004571429,6.30731128,194.0217143,202.333597,1,0,1,0.787191199,26.01387043,26.01387043,26.01387043,26.01387043,121.1428571,121.1428571,0,0,0,0,0,0,40.22017905,0
36,s-Gravenhage,4.962630085,15.92526017,7.085461443,7.188920596,0,0,0,0,0,1,0,1,0.746474413,0,0,0,0,0,0,0,0,0,0,0,0,2.284718257,0
37,s-Gravenhage,41.96263009,267.9252602,97.86273185,108.4672215,0,0,0,994.8207247,994.8207247,1,0,1,1.019574808,0,0,0,0,0,0,0,0,0,0,0,0,31.9966043,0
38,s-Gravenhage,0.962630085,1.92526017,0.875613087,0.895681658,0,8.018285714,0,4.010717186,12.0290029,1,0,1,0.405890531,0,0,0,0,0,0,0,0,0,0,0,0,0.276915064,0
39,s-Gravenhage,99.96263009,270.9252602,117.4995361,121.6933237,0,1.002285714,0,21.40083886,22.40312457,1,0,1,0.794228668,0,0,0,0,0,0,0,0,0,0,0,0,36.95746009,0
40,s-Gravenhage,157.9626301,450.9252602,195.5649333,202.5451713,0,0,1.002285714,29.50621595,30.50850166,1,0,1,0.792435682,0,0,0,0,0,0,0,0,0,0,0,0,61.60880727,0
41,s-Gravenhage,60.3559322,148.5762712,64.4009294,67.01171436,0,0,0,211.4271854,211.4271854,1,0,1,0.792865478,0,0,0,0,0,0,0,0,0,0,0,0,20.08458085,0
42,s-Gravenhage,181.3559322,440.5762712,191.2879706,198.2094734,0,7.082469724,3.006857143,87.01319946,97.10252633,1,0,1,0.790709934,0,0,0,0,0,0,0,0,0,0,0,0,59.94121072,0
43,s-Gravenhage,484.3559322,1101.576271,477.9305047,495.2178058,0,39.44390748,12.13658692,149.684572,201.2650664,1,0,1,0.789233127,0,0,0,0,0,0,0,0,0,0,0,0,150.2688166,445.6645714
44,s-Gravenhage,371.3559322,771.5762712,334.7391812,346.6322757,0,8.14677019,7.128423916,128.3116305,143.5868246,1,0,1,0.78816938,0,0,0,0,0,0,0,0,0,0,0,0,105.1461087,0
45,s-Gravenhage,76.3559322,95.57627119,41.62691165,43.06486083,0,0,0,10.14609362,10.14609362,1,0,1,0.782968717,0,0,0,0,0,0,0,0,0,0,0,0,13.15708101,0
46,s-Gravenhage,628.3559322,1241.576271,538.743274,558.1501952,0,59.83589546,14.44314718,108.3236038,182.6026465,1,0,1,0.788937338,0,0,0,0,0,0,0,0,0,0,0,0,169.0611342,0
47,s-Gravenhage,108.3559322,217.5762712,94.3331412,97.78349403,0,21.41538324,8.158241235,82.60219251,112.175817,1,0,1,0.790658256,0,0,0,0,0,0,0,0,0,0,0,0,29.61283536,0
48,s-Gravenhage,479.3559322,886.5762712,384.769058,398.6328609,0,167.5037878,8.121395774,128.9271579,304.5523415,1,0,1,0.789159839,0,0,0,0,0,0,0,0,0,0,0,0,121.0265328,0
49,s-Gravenhage,947.3559322,1296.576271,562.4656374,582.6287359,0,12.18574482,211.219577,185.8326086,409.2379304,1,0,1,0.789085003,0,0,0,0,0,0,0,0,0,0,0,0,176.5815855,0
50,s-Gravenhage,101.3559322,221.5762712,96.22983256,99.70401127,0,4.009142857,0,59.48601886,63.49516172,1,0,1,0.786286381,0,0,0,0,0,0,0,0,0,0,0,0,30.37016689,0
51,s-Gravenhage,104.3559322,151.5762712,64.32344793,70.80924515,0,3.926011023,0,209.4914286,213.4174396,1,0,1,0.686080043,16.42969838,16.42969838,16.42969838,16.42969838,76.57142857,76.57142857,0,0,0,0,0,0,19.47400807,0
52,s-Gravenhage,96.3559322,140.5762712,59.32183238,65.74210844,0,8.018285714,0,71.23163796,79.24992367,1,0,1,0.691471035,0,0,0,0,0,0,0,0,0,0,0,0,18.14134637,0
53,s-Gravenhage,247.3559322,351.5762712,148.4437306,164.6922504,0,132.6797695,1.002285714,254.2184897,387.900545,1,0,1,0.691854334,10.09687819,10.09687819,10.09687819,10.09687819,46.85714286,46.85714286,0,0,0,0,0,0,45.34058429,0
54,s-Gravenhage,269.3559322,428,180.7377435,200.4121004,0,23.13095013,12.11621197,660.8582857,696.1054478,1,0,1,0.690767367,68.57142857,68.57142857,68.57142857,68.57142857,320,320,0,0,0,0,0,0,55.07361734,0
55,s-Gravenhage,285.3559322,467,197.3019129,218.4942865,0,15.608,4.009142857,833.0445714,852.6617143,1,0,1,0.690401217,0,0,0,0,0,0,0,0,0,0,0,0,59.99331399,0
56,s-Gravenhage,61.78450363,117.3476998,51.41238899,53.1040838,0,0,3.006857143,18.23245152,21.23930866,1,0,1,0.796239374,0,0,0,0,0,0,0,0,0,0,0,0,16.2298046,0
57,s-Gravenhage,144.3559322,296.5762712,125.57851,138.9279954,0,4.009142857,1.002285714,48.34324603,53.3546746,1,0,1,0.689053304,0,0,0,0,0,0,0,0,0,0,0,0,38.2487044,0
58,s-Gravenhage,120.3559322,249.5762712,105.6495293,116.5762034,0,2.000481527,0,128.0308177,130.0312993,1,0,1,0.694200294,0,0,0,0,0,0,0,0,0,0,0,0,32.24291613,0
59,s-Gravenhage,28.3559322,70.57627119,30.84401917,31.70448517,454.1508571,0,0,78.91085714,78.91085714,1,0,1,0.774121613,0,0,0,0,0,0,0,0,0,0,0,0,9.816616123,0
60,s-Gravenhage,8.355932203,21.57627119,9.538121357,9.678148885,0,0,0,39.14857647,39.14857647,1,0,1,0.853113615,0,0,0,0,0,0,0,0,0,0,0,0,2.789304947,433.7537143
61,s-Gravenhage,537.3559322,936.5762712,395.6205573,438.0678979,0,6.10705937,13.23196197,82.4453015,101.7843228,1,0,1,0.690767367,0,0,0,0,0,0,0,0,0,0,0,0,120.8503198,245.1651429
62,s-Gravenhage,1.355932203,2.576271186,1.171694507,1.198549101,0,1.002285714,0,97.77205211,98.77433782,1,0,1,0.405890531,0,0,0,0,0,0,0,0,0,0,0,0,0.370551634,0
63,s-Gravenhage,481.3559322,992,419.0283691,464.3478895,0,5.047008843,13.12222299,142.3256494,160.4948812,1,0,1,0.690488832,0,0,0,0,0,0,0,0,0,0,0,0,128.0002194,0
64,s-Gravenhage,610.3559322,1117,471.6571171,522.8640535,0,19.23344642,18.22115976,120.4621118,157.916718,1,0,1,0.691316205,0,0,0,0,0,0,0,0,0,0,0,0,143.845401,0
65,s-Gravenhage,96.3559322,203,85.83456835,95.16871953,0,2.004571429,4.009142857,34.23946591,40.2531802,1,0,1,0.691471035,0,0,0,120.8219178,402.739726,281.9178082,0,0,0,0,0,0,26.29514766,0
66,s-Gravenhage,219.5714286,346,146.1412847,161.8986397,0,0,6.061525593,60.61525593,66.67678152,1,0,1,0.689765504,0,0,0,0,0,0,0,0,0,0,0,0,44.47689252,0
67,s-Gravenhage,0,0,0,0,0,0,0,12.10962893,12.10962893,1,0,1,0.405890531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
