Parcel_ID,O_zone,D_zone,CEP,Network,Type,DepotNumber,VEHTYPE
68792,2668,2256,PostNL,conventional,tour-based,1.0,
68817,4604,2257,DPD,conventional,tour-based,14.0,7.0
68837,2668,2257,PostNL,conventional,tour-based,1.0,7.0
68853,3362,2257,UPS,conventional,tour-based,13.0,7.0
68878,2668,2259,PostNL,conventional,tour-based,1.0,7.0
68892,2662,2260,DHL,conventional,tour-based,10.0,7.0
68923,2668,2260,PostNL,conventional,tour-based,1.0,7.0
68943,2662,2261,DHL,conventional,tour-based,10.0,7.0
68957,2668,2261,PostNL,conventional,tour-based,1.0,7.0
69059,2668,2264,PostNL,conventional,tour-based,1.0,7.0
69078,2668,2265,PostNL,conventional,tour-based,1.0,7.0
69139,4604,2268,DPD,conventional,tour-based,14.0,7.0
69150,2668,2268,PostNL,conventional,tour-based,1.0,7.0
69188,2668,2269,PostNL,conventional,tour-based,1.0,7.0
69228,2668,2270,PostNL,conventional,tour-based,1.0,7.0
69295,2662,2272,DHL,conventional,tour-based,10.0,7.0
69310,4604,2272,DPD,conventional,tour-based,14.0,7.0
69335,2668,2272,PostNL,conventional,tour-based,1.0,7.0
69392,4604,2273,DPD,conventional,tour-based,14.0,7.0
69418,2668,2273,PostNL,conventional,tour-based,1.0,7.0
69425,2668,2273,PostNL,conventional,tour-based,1.0,7.0
69429,2668,2273,PostNL,conventional,tour-based,1.0,7.0
69522,4604,2276,DPD,conventional,tour-based,14.0,7.0
69581,2662,2278,DHL,conventional,tour-based,10.0,7.0
69610,2668,2278,PostNL,conventional,tour-based,1.0,7.0
69629,2662,2279,DHL,conventional,tour-based,10.0,7.0
69634,2668,2279,PostNL,conventional,tour-based,1.0,7.0
69638,3362,2279,UPS,conventional,tour-based,13.0,7.0
69647,2662,2280,DHL,conventional,tour-based,10.0,7.0
69686,3362,2280,UPS,conventional,tour-based,13.0,7.0
69762,4604,2283,DPD,conventional,tour-based,14.0,7.0
69765,5514,2283,GLS,conventional,tour-based,5.0,7.0
69770,2668,2283,PostNL,conventional,tour-based,1.0,7.0
69934,2668,2290,PostNL,conventional,tour-based,1.0,7.0
69944,2668,2290,PostNL,conventional,tour-based,1.0,7.0
69954,2668,2290,PostNL,conventional,tour-based,1.0,7.0
69963,2668,2290,PostNL,conventional,tour-based,1.0,7.0
69975,2668,2290,PostNL,conventional,tour-based,1.0,7.0
69991,2668,2290,PostNL,conventional,tour-based,1.0,7.0
69997,3362,2290,UPS,conventional,tour-based,13.0,7.0
70025,1044,2291,DHL,conventional,tour-based,7.0,7.0
70113,2662,2292,DHL,conventional,tour-based,10.0,7.0
70121,2662,2292,DHL,conventional,tour-based,10.0,7.0
70138,2662,2292,DHL,conventional,tour-based,10.0,7.0
70167,5514,2292,GLS,conventional,tour-based,5.0,7.0
70210,2668,2292,PostNL,conventional,tour-based,1.0,7.0
70253,3362,2292,UPS,conventional,tour-based,13.0,7.0
70260,3362,2292,UPS,conventional,tour-based,13.0,7.0
70265,2662,2293,DHL,conventional,tour-based,10.0,7.0
70273,2662,2293,DHL,conventional,tour-based,10.0,7.0
70320,2668,2293,PostNL,conventional,tour-based,1.0,7.0
70327,2668,2293,PostNL,conventional,tour-based,1.0,7.0
70407,2668,2294,PostNL,conventional,tour-based,1.0,7.0
70492,4604,2295,DPD,conventional,tour-based,14.0,7.0
70503,4604,2295,DPD,conventional,tour-based,14.0,7.0
70520,2668,2295,PostNL,conventional,tour-based,1.0,7.0
70525,2668,2295,PostNL,conventional,tour-based,1.0,7.0
70529,2668,2295,PostNL,conventional,tour-based,1.0,7.0
70572,2668,2295,PostNL,conventional,tour-based,1.0,7.0
70577,2668,2295,PostNL,conventional,tour-based,1.0,7.0
70579,2668,2295,PostNL,conventional,tour-based,1.0,7.0
70618,2662,2296,DHL,conventional,tour-based,10.0,7.0
70633,2662,2296,DHL,conventional,tour-based,10.0,7.0
70687,4604,2296,DPD,conventional,tour-based,14.0,7.0
70800,2668,2296,PostNL,conventional,tour-based,1.0,7.0
70822,2668,2296,PostNL,conventional,tour-based,1.0,7.0
70834,2668,2296,PostNL,conventional,tour-based,1.0,7.0
70839,2668,2296,PostNL,conventional,tour-based,1.0,7.0
70891,2668,2296,PostNL,conventional,tour-based,1.0,7.0
70909,2668,2296,PostNL,conventional,tour-based,1.0,7.0
70925,3362,2296,UPS,conventional,tour-based,13.0,7.0
70935,3362,2296,UPS,conventional,tour-based,13.0,7.0
70947,2662,2297,DHL,conventional,tour-based,10.0,7.0
70949,2662,2297,DHL,conventional,tour-based,10.0,7.0
71005,2668,2297,PostNL,conventional,tour-based,1.0,7.0
71015,2668,2297,PostNL,conventional,tour-based,1.0,7.0
71059,3362,2297,UPS,conventional,tour-based,13.0,7.0
71076,4604,2298,DPD,conventional,tour-based,14.0,7.0
71092,2668,2298,PostNL,conventional,tour-based,1.0,7.0
71145,4604,2300,DPD,conventional,tour-based,14.0,7.0
71158,2668,2300,PostNL,conventional,tour-based,1.0,7.0
71188,2668,2301,PostNL,conventional,tour-based,1.0,7.0
71198,3362,2301,UPS,conventional,tour-based,13.0,7.0
71205,2668,2302,PostNL,conventional,tour-based,1.0,7.0
71252,4604,2304,DPD,conventional,tour-based,14.0,7.0
71253,4604,2304,DPD,conventional,tour-based,14.0,7.0
71278,2668,2304,PostNL,conventional,tour-based,1.0,7.0
71281,2668,2304,PostNL,conventional,tour-based,1.0,7.0
71302,1044,2305,DHL,conventional,tour-based,7.0,7.0
71304,1044,2305,DHL,conventional,tour-based,7.0,7.0
71311,1044,2305,DHL,conventional,tour-based,7.0,7.0
71320,4604,2305,DPD,conventional,tour-based,14.0,7.0
71324,4137,2305,FedEx,conventional,tour-based,15.0,7.0
71340,2668,2305,PostNL,conventional,tour-based,1.0,7.0
71353,2668,2305,PostNL,conventional,tour-based,1.0,7.0
71375,4137,2306,FedEx,conventional,tour-based,15.0,7.0
71382,2668,2306,PostNL,conventional,tour-based,1.0,7.0
71386,2668,2306,PostNL,conventional,tour-based,1.0,7.0
71409,2668,2307,PostNL,conventional,tour-based,1.0,7.0
71437,5514,2311,GLS,conventional,tour-based,5.0,7.0
71446,2668,2311,PostNL,conventional,tour-based,1.0,7.0
71476,1044,2312,DHL,conventional,tour-based,7.0,7.0
71501,2668,2312,PostNL,conventional,tour-based,1.0,7.0
71502,2668,2312,PostNL,conventional,tour-based,1.0,7.0
71566,1044,2315,DHL,conventional,tour-based,7.0,7.0
71568,1044,2315,DHL,conventional,tour-based,7.0,7.0
71579,1044,2315,DHL,conventional,tour-based,7.0,7.0
71585,1044,2315,DHL,conventional,tour-based,7.0,7.0
71600,4137,2315,FedEx,conventional,tour-based,15.0,7.0
71629,2668,2315,PostNL,conventional,tour-based,1.0,7.0
71663,3362,2315,UPS,conventional,tour-based,13.0,7.0
71665,3362,2315,UPS,conventional,tour-based,13.0,7.0
71670,559,2316,Cycloon,conventional,tour-based,16.0,7.0
71718,1044,2316,DHL,conventional,tour-based,7.0,7.0
71723,1044,2316,DHL,conventional,tour-based,7.0,7.0
71745,4604,2316,DPD,conventional,tour-based,14.0,7.0
71746,4604,2316,DPD,conventional,tour-based,14.0,7.0
71767,4604,2316,DPD,conventional,tour-based,14.0,7.0
71768,4604,2316,DPD,conventional,tour-based,14.0,7.0
71810,2668,2316,PostNL,conventional,tour-based,1.0,7.0
71823,2668,2316,PostNL,conventional,tour-based,1.0,7.0
71824,2668,2316,PostNL,conventional,tour-based,1.0,7.0
71903,2668,2316,PostNL,conventional,tour-based,1.0,7.0
71999,4604,2318,DPD,conventional,tour-based,14.0,7.0
72058,5514,2321,GLS,conventional,tour-based,5.0,7.0
72115,1044,2324,DHL,conventional,tour-based,7.0,7.0
72116,1044,2324,DHL,conventional,tour-based,7.0,7.0
72140,1044,2324,DHL,conventional,tour-based,7.0,7.0
72145,4604,2324,DPD,conventional,tour-based,14.0,7.0
72214,2668,2324,PostNL,conventional,tour-based,1.0,7.0
72260,3362,2324,UPS,conventional,tour-based,13.0,7.0
72262,1044,2325,DHL,conventional,tour-based,7.0,7.0
72295,4604,2330,DPD,conventional,tour-based,14.0,7.0
72296,4604,2330,DPD,conventional,tour-based,14.0,7.0
72302,4137,2330,FedEx,conventional,tour-based,15.0,7.0
72314,2668,2330,PostNL,conventional,tour-based,1.0,7.0
72333,2668,2330,PostNL,conventional,tour-based,1.0,7.0
72387,2668,2331,PostNL,conventional,tour-based,1.0,7.0
72399,2668,2331,PostNL,conventional,tour-based,1.0,7.0
72452,2668,2332,PostNL,conventional,tour-based,1.0,7.0
72454,2668,2332,PostNL,conventional,tour-based,1.0,7.0
72455,2668,2332,PostNL,conventional,tour-based,1.0,7.0
72483,3362,2332,UPS,conventional,tour-based,13.0,7.0
72515,4604,2334,DPD,conventional,tour-based,14.0,7.0
72543,2668,2334,PostNL,conventional,tour-based,1.0,7.0
72545,2668,2334,PostNL,conventional,tour-based,1.0,7.0
72560,1044,2335,DHL,conventional,tour-based,7.0,7.0
72563,1044,2335,DHL,conventional,tour-based,7.0,7.0
72581,4604,2335,DPD,conventional,tour-based,14.0,7.0
72606,2668,2335,PostNL,conventional,tour-based,1.0,7.0
72608,2668,2335,PostNL,conventional,tour-based,1.0,7.0
72616,2668,2335,PostNL,conventional,tour-based,1.0,7.0
72659,3362,2335,UPS,conventional,tour-based,13.0,7.0
72666,1044,2336,DHL,conventional,tour-based,7.0,7.0
72673,1044,2336,DHL,conventional,tour-based,7.0,7.0
72689,4604,2336,DPD,conventional,tour-based,14.0,7.0
72691,4137,2336,FedEx,conventional,tour-based,15.0,7.0
72698,2668,2336,PostNL,conventional,tour-based,1.0,7.0
