Parcel_ID,O_zone,D_zone,CEP,Network,Type,DepotNumber
68792,2433,2668,PostNL,conventional,tour-based,1.0
68817,2466,4604,DPD,conventional,tour-based,14.0
68837,2281,2668,PostNL,conventional,tour-based,1.0
68853,2341,3362,UPS,conventional,tour-based,13.0
68878,2292,2668,PostNL,conventional,tour-based,1.0
68892,2340,1044,DHL,conventional,tour-based,7.0
68923,2273,2668,PostNL,conventional,tour-based,1.0
68943,2292,2662,DHL,conventional,tour-based,10.0
68957,2282,2668,PostNL,conventional,tour-based,1.0
69059,2466,2668,PostNL,conventional,tour-based,1.0
69078,2341,2668,PostNL,conventional,tour-based,1.0
69139,2431,4604,DPD,conventional,tour-based,14.0
69150,2449,2668,PostNL,conventional,tour-based,1.0
69188,2362,2668,PostNL,conventional,tour-based,1.0
69228,2461,2668,PostNL,conventional,tour-based,1.0
69295,2449,2662,DHL,conventional,tour-based,10.0
69310,2290,4604,DPD,conventional,tour-based,14.0
69335,2449,2668,PostNL,conventional,tour-based,1.0
69392,2434,4604,DPD,conventional,tour-based,14.0
69418,2441,2668,PostNL,conventional,tour-based,1.0
69425,2341,2668,PostNL,conventional,tour-based,1.0
69429,2316,2668,PostNL,conventional,tour-based,1.0
69522,2402,4604,DPD,conventional,tour-based,14.0
69581,2282,2662,DHL,conventional,tour-based,10.0
69610,2399,2668,PostNL,conventional,tour-based,1.0
69629,2271,2662,DHL,conventional,tour-based,10.0
69634,2481,2668,PostNL,conventional,tour-based,1.0
69638,2420,3362,UPS,conventional,tour-based,13.0
69647,2457,2662,DHL,conventional,tour-based,10.0
69686,2420,3362,UPS,conventional,tour-based,13.0
69762,2467,4604,DPD,conventional,tour-based,14.0
69765,2408,5514,GLS,conventional,tour-based,5.0
69770,2324,2668,PostNL,conventional,tour-based,1.0
69934,2432,2668,PostNL,conventional,tour-based,1.0
69944,2447,2668,PostNL,conventional,tour-based,1.0
69954,2408,2668,PostNL,conventional,tour-based,1.0
69963,2431,2668,PostNL,conventional,tour-based,1.0
69975,2401,2668,PostNL,conventional,tour-based,1.0
69991,2468,2668,PostNL,conventional,tour-based,1.0
69997,2406,3362,UPS,conventional,tour-based,13.0
70025,2469,2662,DHL,conventional,tour-based,10.0
70113,2331,1044,DHL,conventional,tour-based,7.0
70121,2324,1044,DHL,conventional,tour-based,7.0
70138,2313,1044,DHL,conventional,tour-based,7.0
70167,2447,5514,GLS,conventional,tour-based,5.0
70210,2420,2668,PostNL,conventional,tour-based,1.0
70253,2457,3362,UPS,conventional,tour-based,13.0
70260,2342,3362,UPS,conventional,tour-based,13.0
70265,2345,2662,DHL,conventional,tour-based,10.0
70273,2457,2662,DHL,conventional,tour-based,10.0
70320,2265,2668,PostNL,conventional,tour-based,1.0
70327,2420,2668,PostNL,conventional,tour-based,1.0
70407,2340,2668,PostNL,conventional,tour-based,1.0
70492,2468,4604,DPD,conventional,tour-based,14.0
70503,2345,4604,DPD,conventional,tour-based,14.0
70520,2375,2668,PostNL,conventional,tour-based,1.0
70525,2385,2668,PostNL,conventional,tour-based,1.0
70529,2364,2668,PostNL,conventional,tour-based,1.0
70572,2420,2668,PostNL,conventional,tour-based,1.0
70577,2293,2668,PostNL,conventional,tour-based,1.0
70579,2460,2668,PostNL,conventional,tour-based,1.0
70618,2266,2662,DHL,conventional,tour-based,10.0
70633,2375,2662,DHL,conventional,tour-based,10.0
70687,2451,4604,DPD,conventional,tour-based,14.0
70800,2430,2668,PostNL,conventional,tour-based,1.0
70822,2275,2668,PostNL,conventional,tour-based,1.0
70834,2454,2668,PostNL,conventional,tour-based,1.0
70839,2348,2668,PostNL,conventional,tour-based,1.0
70891,2432,2668,PostNL,conventional,tour-based,1.0
70909,2304,2668,PostNL,conventional,tour-based,1.0
70925,2278,3362,UPS,conventional,tour-based,13.0
70935,2420,3362,UPS,conventional,tour-based,13.0
70947,2432,2662,DHL,conventional,tour-based,10.0
70949,2280,2662,DHL,conventional,tour-based,10.0
71005,2429,2668,PostNL,conventional,tour-based,1.0
71015,2348,2668,PostNL,conventional,tour-based,1.0
71059,2432,3362,UPS,conventional,tour-based,13.0
71076,2363,4604,DPD,conventional,tour-based,14.0
71092,2413,2668,PostNL,conventional,tour-based,1.0
71145,2364,4604,DPD,conventional,tour-based,14.0
71158,2316,2668,PostNL,conventional,tour-based,1.0
71188,2364,2668,PostNL,conventional,tour-based,1.0
71198,2363,3362,UPS,conventional,tour-based,13.0
71205,2341,2668,PostNL,conventional,tour-based,1.0
71252,2459,4604,DPD,conventional,tour-based,14.0
71253,2441,4604,DPD,conventional,tour-based,14.0
71278,2266,2668,PostNL,conventional,tour-based,1.0
71281,2316,2668,PostNL,conventional,tour-based,1.0
71302,2262,2662,DHL,conventional,tour-based,10.0
71304,2429,2662,DHL,conventional,tour-based,10.0
71311,2390,2662,DHL,conventional,tour-based,10.0
71320,2324,4604,DPD,conventional,tour-based,14.0
71324,2426,4137,FedEx,conventional,tour-based,15.0
71340,2391,2668,PostNL,conventional,tour-based,1.0
71353,2449,2668,PostNL,conventional,tour-based,1.0
71375,2315,4137,FedEx,conventional,tour-based,15.0
71382,2295,2668,PostNL,conventional,tour-based,1.0
71386,2438,2668,PostNL,conventional,tour-based,1.0
71409,2468,2668,PostNL,conventional,tour-based,1.0
71437,2427,5514,GLS,conventional,tour-based,5.0
71446,2342,2668,PostNL,conventional,tour-based,1.0
71476,2432,2662,DHL,conventional,tour-based,10.0
71501,2391,2668,PostNL,conventional,tour-based,1.0
71502,2451,2668,PostNL,conventional,tour-based,1.0
71566,2385,2662,DHL,conventional,tour-based,10.0
71568,2260,2662,DHL,conventional,tour-based,10.0
71579,2341,1044,DHL,conventional,tour-based,7.0
71585,2399,2662,DHL,conventional,tour-based,10.0
71600,2316,4137,FedEx,conventional,tour-based,15.0
71629,2296,2668,PostNL,conventional,tour-based,1.0
71663,2340,3362,UPS,conventional,tour-based,13.0
71665,2292,3362,UPS,conventional,tour-based,13.0
71670,2375,559,Cycloon,conventional,tour-based,16.0
71718,2389,2662,DHL,conventional,tour-based,10.0
71723,2459,2662,DHL,conventional,tour-based,10.0
71745,2330,4604,DPD,conventional,tour-based,14.0
71746,2429,4604,DPD,conventional,tour-based,14.0
71767,2345,4604,DPD,conventional,tour-based,14.0
71768,2369,4604,DPD,conventional,tour-based,14.0
71810,2304,2668,PostNL,conventional,tour-based,1.0
71823,2375,2668,PostNL,conventional,tour-based,1.0
71824,2306,2668,PostNL,conventional,tour-based,1.0
71903,2444,2668,PostNL,conventional,tour-based,1.0
71999,2445,4604,DPD,conventional,tour-based,14.0
72058,2335,5514,GLS,conventional,tour-based,5.0
72115,2370,2662,DHL,conventional,tour-based,10.0
72116,2434,2662,DHL,conventional,tour-based,10.0
72140,2466,2662,DHL,conventional,tour-based,10.0
72145,2323,4604,DPD,conventional,tour-based,14.0
72214,2457,2668,PostNL,conventional,tour-based,1.0
72260,2394,3362,UPS,conventional,tour-based,13.0
72262,2324,1044,DHL,conventional,tour-based,7.0
72295,2290,4604,DPD,conventional,tour-based,14.0
72296,2466,4604,DPD,conventional,tour-based,14.0
72302,2295,4137,FedEx,conventional,tour-based,15.0
72314,2371,2668,PostNL,conventional,tour-based,1.0
72333,2323,2668,PostNL,conventional,tour-based,1.0
72387,2432,2668,PostNL,conventional,tour-based,1.0
72399,2406,2668,PostNL,conventional,tour-based,1.0
72452,2312,2668,PostNL,conventional,tour-based,1.0
72454,2465,2668,PostNL,conventional,tour-based,1.0
72455,2343,2668,PostNL,conventional,tour-based,1.0
72483,2481,3362,UPS,conventional,tour-based,13.0
72515,2321,4604,DPD,conventional,tour-based,14.0
72543,2342,2668,PostNL,conventional,tour-based,1.0
72545,2296,2668,PostNL,conventional,tour-based,1.0
72560,2340,1044,DHL,conventional,tour-based,7.0
72563,2461,2662,DHL,conventional,tour-based,10.0
72581,2457,4604,DPD,conventional,tour-based,14.0
72606,2330,2668,PostNL,conventional,tour-based,1.0
72608,2366,2668,PostNL,conventional,tour-based,1.0
72616,2430,2668,PostNL,conventional,tour-based,1.0
72659,2384,3362,UPS,conventional,tour-based,13.0
72666,2341,1044,DHL,conventional,tour-based,7.0
72673,2367,2662,DHL,conventional,tour-based,10.0
72689,2439,4604,DPD,conventional,tour-based,14.0
72691,2407,4137,FedEx,conventional,tour-based,15.0
72698,2282,2668,PostNL,conventional,tour-based,1.0
72705,2317,2668,PostNL,conventional,tour-based,1.0
72758,2386,2662,DHL,conventional,tour-based,10.0
72761,2430,2662,DHL,conventional,tour-based,10.0
72796,2281,2662,DHL,conventional,tour-based,10.0
72863,2387,2668,PostNL,conventional,tour-based,1.0
72888,2313,3362,UPS,conventional,tour-based,13.0
72917,2316,1044,DHL,conventional,tour-based,7.0
72945,2278,2662,DHL,conventional,tour-based,10.0
72993,2415,2662,DHL,conventional,tour-based,10.0
72998,2452,4604,DPD,conventional,tour-based,14.0
73008,2467,4604,DPD,conventional,tour-based,14.0
73024,2388,4604,DPD,conventional,tour-based,14.0
73026,2429,4604,DPD,conventional,tour-based,14.0
73096,2445,2668,PostNL,conventional,tour-based,1.0
73152,2445,2668,PostNL,conventional,tour-based,1.0
73190,2389,2668,PostNL,conventional,tour-based,1.0
73213,2296,2668,PostNL,conventional,tour-based,1.0
73221,2336,2668,PostNL,conventional,tour-based,1.0
73258,2409,2668,PostNL,conventional,tour-based,1.0
73269,2348,2668,PostNL,conventional,tour-based,1.0
73272,2323,2668,PostNL,conventional,tour-based,1.0
73300,2359,3362,UPS,conventional,tour-based,13.0
73306,2350,3362,UPS,conventional,tour-based,13.0
73327,2415,3362,UPS,conventional,tour-based,13.0
73345,2338,1044,DHL,conventional,tour-based,7.0
73374,2477,2662,DHL,conventional,tour-based,10.0
73397,2265,4137,FedEx,conventional,tour-based,15.0
73418,2300,2668,PostNL,conventional,tour-based,1.0
73437,2315,2668,PostNL,conventional,tour-based,1.0
73440,2461,2668,PostNL,conventional,tour-based,1.0
73455,2457,2668,PostNL,conventional,tour-based,1.0
73480,2460,2668,PostNL,conventional,tour-based,1.0
73533,2296,2662,DHL,conventional,tour-based,10.0
73547,2427,4604,DPD,conventional,tour-based,14.0
73600,2375,2668,PostNL,conventional,tour-based,1.0
73632,2275,2668,PostNL,conventional,tour-based,1.0
73637,2468,3362,UPS,conventional,tour-based,13.0
