Parcel_ID,O_zone,D_zone,DepotNumber,CEP,VEHTYPE,Segment
1,1008,1,9,DHL,7,B2C
2,2668,1,1,PostNL,7,B2C
3,1008,3,9,DHL,7,C2C
4,1008,3,9,DHL,7,B2C
5,1008,3,9,DHL,7,B2C
7,1008,3,9,DHL,7,B2C
8,1008,3,9,DHL,7,B2C
9,1008,3,9,DHL,7,B2C
11,4604,3,14,DPD,7,B2C
12,4604,3,14,DPD,7,B2C
13,4137,3,15,FedEx,7,B2C
14,5514,3,5,GLS,7,B2C
15,2668,3,1,PostNL,7,C2C
16,2668,3,1,PostNL,7,B2C
17,2668,3,1,PostNL,7,B2C
18,2668,3,1,PostNL,7,B2C
19,2668,3,1,PostNL,7,B2C
20,2668,3,1,PostNL,7,B2C
21,2668,3,1,PostNL,7,B2C
22,2668,3,1,PostNL,7,B2C
23,2668,3,1,PostNL,7,B2C
24,2668,3,1,PostNL,7,B2C
25,2668,3,1,PostNL,7,B2C
26,2668,3,1,PostNL,7,B2C
27,2668,3,1,PostNL,7,B2C
28,2668,3,1,PostNL,7,C2C
29,2668,3,1,PostNL,7,B2C
30,3362,3,13,UPS,7,B2C
31,3362,3,13,UPS,7,B2C
32,3362,3,13,UPS,7,B2C
33,1008,4,9,DHL,7,B2C
34,1008,4,9,DHL,7,B2C
35,1008,4,9,DHL,7,B2C
36,1008,4,9,DHL,7,B2C
37,1008,4,9,DHL,7,B2C
38,1008,4,9,DHL,7,B2C
39,1008,4,9,DHL,7,C2C
40,4604,4,14,DPD,7,B2C
41,4604,4,14,DPD,7,B2C
42,4604,4,14,DPD,7,B2C
43,4137,4,15,FedEx,7,B2C
44,5514,4,5,GLS,7,B2C
45,2668,4,1,PostNL,7,B2C
46,2668,4,1,PostNL,7,B2C
47,2668,4,1,PostNL,7,B2C
48,2668,4,1,PostNL,7,B2C
49,2668,4,1,PostNL,7,B2C
50,2668,4,1,PostNL,7,B2C
51,2668,4,1,PostNL,7,C2C
52,2668,4,1,PostNL,7,B2C
53,2668,4,1,PostNL,7,B2C
54,2668,4,1,PostNL,7,B2C
56,2668,4,1,PostNL,7,B2C
57,2668,4,1,PostNL,7,B2C
58,2668,4,1,PostNL,7,B2C
59,3362,4,13,UPS,7,B2C
60,3362,4,13,UPS,7,B2C
61,3362,4,13,UPS,7,B2C
62,1008,5,9,DHL,7,B2C
63,1008,5,9,DHL,7,B2C
64,1008,5,9,DHL,7,B2C
65,1008,5,9,DHL,7,C2C
66,1008,5,9,DHL,7,B2C
67,1008,5,9,DHL,7,B2C
68,1008,5,9,DHL,7,B2C
69,1008,5,9,DHL,7,B2C
70,1008,5,9,DHL,7,B2C
71,1008,5,9,DHL,7,B2C
72,1008,5,9,DHL,7,B2C
73,4604,5,14,DPD,7,B2C
74,4604,5,14,DPD,7,B2C
75,4604,5,14,DPD,7,B2C
76,4604,5,14,DPD,7,B2C
78,4137,5,15,FedEx,7,B2C
79,5514,5,5,GLS,7,B2C
80,5514,5,5,GLS,7,B2C
81,2668,5,1,PostNL,7,B2C
82,2668,5,1,PostNL,7,B2C
83,2668,5,1,PostNL,7,B2C
85,2668,5,1,PostNL,7,B2C
86,2668,5,1,PostNL,7,B2C
87,2668,5,1,PostNL,7,B2C
88,2668,5,1,PostNL,7,B2C
89,2668,5,1,PostNL,7,B2C
90,2668,5,1,PostNL,7,B2C
91,2668,5,1,PostNL,7,B2C
92,2668,5,1,PostNL,7,B2C
93,2668,5,1,PostNL,7,B2C
94,2668,5,1,PostNL,7,B2C
95,2668,5,1,PostNL,7,B2C
96,2668,5,1,PostNL,7,B2C
97,2668,5,1,PostNL,7,B2C
99,2668,5,1,PostNL,7,C2C
100,2668,5,1,PostNL,7,B2C
101,2668,5,1,PostNL,7,B2C
102,2668,5,1,PostNL,7,B2C
103,2668,5,1,PostNL,7,B2C
104,2668,5,1,PostNL,7,B2C
105,3362,5,13,UPS,7,B2C
106,3362,5,13,UPS,7,B2C
107,3362,5,13,UPS,7,C2C
108,3362,5,13,UPS,7,B2C
110,1008,6,9,DHL,7,B2C
111,4604,6,14,DPD,7,B2C
112,2668,6,1,PostNL,7,B2C
113,2668,6,1,PostNL,7,B2C
114,2668,6,1,PostNL,7,B2C
115,2668,6,1,PostNL,7,B2C
116,2668,6,1,PostNL,7,B2C
117,3362,6,13,UPS,7,B2C
118,559,7,16,Cycloon,7,B2C
119,1008,7,9,DHL,7,B2C
120,1008,7,9,DHL,7,B2C
122,1008,7,9,DHL,7,C2C
123,1008,7,9,DHL,7,C2C
124,1008,7,9,DHL,7,B2C
125,1008,7,9,DHL,7,B2C
126,1008,7,9,DHL,7,B2C
127,1008,7,9,DHL,7,B2C
128,1008,7,9,DHL,7,B2C
129,1008,7,9,DHL,7,B2C
130,1008,7,9,DHL,7,B2C
131,4604,7,14,DPD,7,B2C
132,4604,7,14,DPD,7,B2C
133,4604,7,14,DPD,7,B2C
134,4604,7,14,DPD,7,C2C
135,4604,7,14,DPD,7,B2C
136,4137,7,15,FedEx,7,B2C
137,5514,7,5,GLS,7,B2C
138,5514,7,5,GLS,7,B2C
139,2668,7,1,PostNL,7,B2C
140,2668,7,1,PostNL,7,B2C
141,2668,7,1,PostNL,7,B2C
142,2668,7,1,PostNL,7,B2C
143,2668,7,1,PostNL,7,B2C
144,2668,7,1,PostNL,7,B2C
145,2668,7,1,PostNL,7,C2C
146,2668,7,1,PostNL,7,B2C
148,2668,7,1,PostNL,7,B2C
149,2668,7,1,PostNL,7,B2C
150,2668,7,1,PostNL,7,C2C
151,2668,7,1,PostNL,7,B2C
152,2668,7,1,PostNL,7,B2C
153,2668,7,1,PostNL,7,B2C
154,2668,7,1,PostNL,7,B2C
155,2668,7,1,PostNL,7,B2C
156,2668,7,1,PostNL,7,B2C
157,2668,7,1,PostNL,7,B2C
158,2668,7,1,PostNL,7,B2C
159,2668,7,1,PostNL,7,B2C
160,2668,7,1,PostNL,7,B2C
161,2668,7,1,PostNL,7,B2C
162,2668,7,1,PostNL,7,B2C
163,2668,7,1,PostNL,7,B2C
164,3362,7,13,UPS,7,B2C
165,3362,7,13,UPS,7,B2C
166,3362,7,13,UPS,7,C2C
167,3362,7,13,UPS,7,B2C
168,3362,7,13,UPS,7,B2C
169,1008,9,9,DHL,7,B2C
170,1008,9,9,DHL,7,B2C
171,1008,9,9,DHL,7,B2C
172,1008,9,9,DHL,7,B2C
173,1008,9,9,DHL,7,B2C
174,1008,9,9,DHL,7,B2C
175,1008,9,9,DHL,7,B2C
176,1008,9,9,DHL,7,B2C
177,1008,9,9,DHL,7,B2C
178,1008,9,9,DHL,7,B2C
179,1008,9,9,DHL,7,B2C
180,4604,9,14,DPD,7,B2C
181,4604,9,14,DPD,7,B2C
182,4604,9,14,DPD,7,B2C
183,4604,9,14,DPD,7,B2C
184,4604,9,14,DPD,7,B2C
185,4137,9,15,FedEx,7,B2C
186,5514,9,5,GLS,7,B2C
187,5514,9,5,GLS,7,B2C
188,2668,9,1,PostNL,7,B2C
189,2668,9,1,PostNL,7,B2C
190,2668,9,1,PostNL,7,B2C
191,2668,9,1,PostNL,7,B2C
192,2668,9,1,PostNL,7,B2C
193,2668,9,1,PostNL,7,B2C
194,2668,9,1,PostNL,7,B2C
195,2668,9,1,PostNL,7,B2C
196,2668,9,1,PostNL,7,B2C
197,2668,9,1,PostNL,7,C2C
198,2668,9,1,PostNL,7,B2C
199,2668,9,1,PostNL,7,B2C
200,2668,9,1,PostNL,7,B2C
201,2668,9,1,PostNL,7,B2C
203,2668,9,1,PostNL,7,B2C
204,2668,9,1,PostNL,7,B2C
205,2668,9,1,PostNL,7,B2C
206,2668,9,1,PostNL,7,B2C
207,2668,9,1,PostNL,7,B2C
208,2668,9,1,PostNL,7,B2C
209,2668,9,1,PostNL,7,B2C
210,2668,9,1,PostNL,7,B2C
211,3362,9,13,UPS,7,B2C
212,3362,9,13,UPS,7,B2C
213,3362,9,13,UPS,7,B2C
214,3362,9,13,UPS,7,B2C
215,1008,10,9,DHL,7,B2C
216,1008,10,9,DHL,7,B2C
217,1008,10,9,DHL,7,C2C
218,1008,10,9,DHL,7,B2C
219,1008,10,9,DHL,7,B2C
220,1008,10,9,DHL,7,C2C
223,1008,10,9,DHL,7,B2C
224,1008,10,9,DHL,7,B2C
225,1008,10,9,DHL,7,B2C
226,4604,10,14,DPD,7,B2C
227,4604,10,14,DPD,7,B2C
228,4604,10,14,DPD,7,B2C
229,4604,10,14,DPD,7,B2C
230,4604,10,14,DPD,7,B2C
231,4137,10,15,FedEx,7,B2C
232,5514,10,5,GLS,7,B2C
233,5514,10,5,GLS,7,B2C
234,2668,10,1,PostNL,7,B2C
235,2668,10,1,PostNL,7,B2C
236,2668,10,1,PostNL,7,B2C
238,2668,10,1,PostNL,7,B2C
239,2668,10,1,PostNL,7,B2C
240,2668,10,1,PostNL,7,B2C
241,2668,10,1,PostNL,7,B2C
242,2668,10,1,PostNL,7,B2C
244,2668,10,1,PostNL,7,B2C
245,2668,10,1,PostNL,7,B2C
246,2668,10,1,PostNL,7,B2C
247,2668,10,1,PostNL,7,B2C
248,2668,10,1,PostNL,7,B2C
249,2668,10,1,PostNL,7,B2C
250,2668,10,1,PostNL,7,B2C
251,2668,10,1,PostNL,7,C2C
252,2668,10,1,PostNL,7,B2C
253,2668,10,1,PostNL,7,B2C
254,2668,10,1,PostNL,7,B2C
255,2668,10,1,PostNL,7,B2C
256,2668,10,1,PostNL,7,B2C
257,2668,10,1,PostNL,7,B2C
258,3362,10,13,UPS,7,B2C
259,3362,10,13,UPS,7,B2C
260,3362,10,13,UPS,7,B2C
261,3362,10,13,UPS,7,B2C
262,559,11,16,Cycloon,7,B2C
263,1008,11,9,DHL,7,B2C
264,1008,11,9,DHL,7,B2C
265,1008,11,9,DHL,7,B2C
266,1008,11,9,DHL,7,B2C
267,1008,11,9,DHL,7,B2C
268,1008,11,9,DHL,7,B2C
269,1008,11,9,DHL,7,B2C
270,1008,11,9,DHL,7,B2C
271,1008,11,9,DHL,7,B2C
272,1008,11,9,DHL,7,B2C
273,1008,11,9,DHL,7,B2C
274,1008,11,9,DHL,7,B2C
275,4604,11,14,DPD,7,B2C
276,4604,11,14,DPD,7,B2C
277,4604,11,14,DPD,7,B2C
278,4604,11,14,DPD,7,B2C
279,4604,11,14,DPD,7,B2C
280,4137,11,15,FedEx,7,B2C
281,5514,11,5,GLS,7,B2C
282,5514,11,5,GLS,7,B2C
283,2668,11,1,PostNL,7,B2C
284,2668,11,1,PostNL,7,B2C
285,2668,11,1,PostNL,7,B2C
286,2668,11,1,PostNL,7,B2C
287,2668,11,1,PostNL,7,B2C
288,2668,11,1,PostNL,7,B2C
289,2668,11,1,PostNL,7,B2C
290,2668,11,1,PostNL,7,B2C
292,2668,11,1,PostNL,7,B2C
293,2668,11,1,PostNL,7,B2C
294,2668,11,1,PostNL,7,B2C
295,2668,11,1,PostNL,7,B2C
296,2668,11,1,PostNL,7,B2C
297,2668,11,1,PostNL,7,B2C
298,2668,11,1,PostNL,7,B2C
299,2668,11,1,PostNL,7,B2C
300,2668,11,1,PostNL,7,B2C
301,2668,11,1,PostNL,7,B2C
302,2668,11,1,PostNL,7,B2C
303,2668,11,1,PostNL,7,B2C
304,2668,11,1,PostNL,7,B2C
305,2668,11,1,PostNL,7,B2C
306,2668,11,1,PostNL,7,B2C
307,2668,11,1,PostNL,7,B2C
308,3362,11,13,UPS,7,B2C
309,3362,11,13,UPS,7,B2C
310,3362,11,13,UPS,7,B2C
311,3362,11,13,UPS,7,B2C
312,3362,11,13,UPS,7,B2C
313,1008,12,9,DHL,7,B2C
314,1008,12,9,DHL,7,B2C
315,1008,12,9,DHL,7,B2C
316,1008,12,9,DHL,7,B2C
317,4604,12,14,DPD,7,B2C
318,4604,12,14,DPD,7,B2C
319,5514,12,5,GLS,7,B2C
320,2668,12,1,PostNL,7,B2C
321,2668,12,1,PostNL,7,B2C
322,2668,12,1,PostNL,7,B2C
323,2668,12,1,PostNL,7,B2C
324,2668,12,1,PostNL,7,B2C
325,2668,12,1,PostNL,7,B2C
326,2668,12,1,PostNL,7,B2C
327,2668,12,1,PostNL,7,B2C
328,3362,12,13,UPS,7,B2C
329,559,13,16,Cycloon,7,B2C
330,1008,13,9,DHL,7,B2C
331,1008,13,9,DHL,7,B2C
332,1008,13,9,DHL,7,B2C
333,1008,13,9,DHL,7,B2C
334,1008,13,9,DHL,7,B2C
335,1008,13,9,DHL,7,B2C
336,1008,13,9,DHL,7,C2C
337,1008,13,9,DHL,7,B2C
338,1008,13,9,DHL,7,B2C
339,1008,13,9,DHL,7,B2C
340,1008,13,9,DHL,7,B2C
341,1008,13,9,DHL,7,B2C
342,1008,13,9,DHL,7,B2C
343,1008,13,9,DHL,7,B2C
344,1008,13,9,DHL,7,B2C
346,1008,13,9,DHL,7,B2C
347,4604,13,14,DPD,7,B2C
348,4604,13,14,DPD,7,B2C
349,4604,13,14,DPD,7,B2C
350,4604,13,14,DPD,7,C2C
351,4604,13,14,DPD,7,B2C
352,4604,13,14,DPD,7,B2C
353,4604,13,14,DPD,7,B2C
354,4137,13,15,FedEx,7,B2C
355,4137,13,15,FedEx,7,B2C
356,5514,13,5,GLS,7,B2C
357,5514,13,5,GLS,7,B2C
358,5514,13,5,GLS,7,B2C
359,2668,13,1,PostNL,7,B2C
360,2668,13,1,PostNL,7,B2C
361,2668,13,1,PostNL,7,B2C
362,2668,13,1,PostNL,7,B2C
363,2668,13,1,PostNL,7,B2C
364,2668,13,1,PostNL,7,B2C
366,2668,13,1,PostNL,7,B2C
367,2668,13,1,PostNL,7,B2C
368,2668,13,1,PostNL,7,B2C
370,2668,13,1,PostNL,7,B2C
371,2668,13,1,PostNL,7,B2C
372,2668,13,1,PostNL,7,C2C
373,2668,13,1,PostNL,7,B2C
374,2668,13,1,PostNL,7,B2C
375,2668,13,1,PostNL,7,C2C
376,2668,13,1,PostNL,7,B2C
377,2668,13,1,PostNL,7,B2C
379,2668,13,1,PostNL,7,B2C
380,2668,13,1,PostNL,7,B2C
381,2668,13,1,PostNL,7,B2C
382,2668,13,1,PostNL,7,B2C
383,2668,13,1,PostNL,7,B2C
384,2668,13,1,PostNL,7,B2C
385,2668,13,1,PostNL,7,B2C
386,2668,13,1,PostNL,7,B2C
387,2668,13,1,PostNL,7,B2C
388,2668,13,1,PostNL,7,B2C
389,2668,13,1,PostNL,7,B2C
390,2668,13,1,PostNL,7,B2C
391,2668,13,1,PostNL,7,B2C
392,2668,13,1,PostNL,7,B2C
393,2668,13,1,PostNL,7,B2C
394,2668,13,1,PostNL,7,C2C
395,3362,13,13,UPS,7,B2C
396,3362,13,13,UPS,7,B2C
397,3362,13,13,UPS,7,B2C
398,3362,13,13,UPS,7,B2C
399,3362,13,13,UPS,7,B2C
400,3362,13,13,UPS,7,B2C
401,3362,13,13,UPS,7,B2C
402,559,14,16,Cycloon,7,B2C
403,1008,14,9,DHL,7,C2C
404,1008,14,9,DHL,7,B2C
405,1008,14,9,DHL,7,B2C
406,1008,14,9,DHL,7,B2C
407,1008,14,9,DHL,7,B2C
408,1008,14,9,DHL,7,B2C
410,1008,14,9,DHL,7,B2C
411,1008,14,9,DHL,7,B2C
412,1008,14,9,DHL,7,B2C
413,1008,14,9,DHL,7,B2C
414,1008,14,9,DHL,7,B2C
415,4604,14,14,DPD,7,B2C
416,4604,14,14,DPD,7,B2C
417,4604,14,14,DPD,7,B2C
418,4604,14,14,DPD,7,B2C
419,4604,14,14,DPD,7,B2C
420,4604,14,14,DPD,7,B2C
421,4137,14,15,FedEx,7,B2C
422,5514,14,5,GLS,7,B2C
423,5514,14,5,GLS,7,C2C
424,2668,14,1,PostNL,7,B2C
426,2668,14,1,PostNL,7,B2C
427,2668,14,1,PostNL,7,C2C
428,2668,14,1,PostNL,7,B2C
430,2668,14,1,PostNL,7,B2C
431,2668,14,1,PostNL,7,B2C
432,2668,14,1,PostNL,7,B2C
433,2668,14,1,PostNL,7,B2C
434,2668,14,1,PostNL,7,B2C
435,2668,14,1,PostNL,7,B2C
436,2668,14,1,PostNL,7,B2C
437,2668,14,1,PostNL,7,B2C
438,2668,14,1,PostNL,7,C2C
439,2668,14,1,PostNL,7,B2C
440,2668,14,1,PostNL,7,B2C
441,2668,14,1,PostNL,7,B2C
442,2668,14,1,PostNL,7,C2C
443,2668,14,1,PostNL,7,B2C
444,2668,14,1,PostNL,7,C2C
445,2668,14,1,PostNL,7,B2C
446,2668,14,1,PostNL,7,B2C
447,2668,14,1,PostNL,7,B2C
448,2668,14,1,PostNL,7,B2C
449,2668,14,1,PostNL,7,B2C
450,2668,14,1,PostNL,7,B2C
451,3362,14,13,UPS,7,B2C
452,3362,14,13,UPS,7,B2C
