Parcel_ID,O_zone,D_zone,CEP,Network,Type
68792,2433,2668,PostNL,conventional,tour-based
68792,2668,2256,PostNL,conventional,tour-based
68817,2466,4604,DPD,conventional,tour-based
68817,4604,2257,DPD,conventional,tour-based
68837,2281,2668,PostNL,conventional,tour-based
68837,2668,2257,PostNL,conventional,tour-based
68853,2341,3362,UPS,conventional,tour-based
68853,3362,2257,UPS,conventional,tour-based
68878,2292,2668,PostNL,conventional,tour-based
68878,2668,2259,PostNL,conventional,tour-based
68892,2340,1044,DHL,conventional,tour-based
68892,1044,2662,DHL,conventional,consolidated
68892,2662,2260,DHL,conventional,tour-based
68923,2273,2668,PostNL,conventional,tour-based
68923,2668,2260,PostNL,conventional,tour-based
68943,2292,2662,DHL,conventional,tour-based
68943,2662,2261,DHL,conventional,tour-based
68957,2282,2668,PostNL,conventional,tour-based
68957,2668,2261,PostNL,conventional,tour-based
69059,2466,2668,PostNL,conventional,tour-based
69059,2668,2264,PostNL,conventional,tour-based
69078,2341,2668,PostNL,conventional,tour-based
69078,2668,2265,PostNL,conventional,tour-based
69139,2431,4604,DPD,conventional,tour-based
69139,4604,2268,DPD,conventional,tour-based
69150,2449,2668,PostNL,conventional,tour-based
69150,2668,2268,PostNL,conventional,tour-based
69188,2362,2668,PostNL,conventional,tour-based
69188,2668,2269,PostNL,conventional,tour-based
69228,2461,2668,PostNL,conventional,tour-based
69228,2668,2270,PostNL,conventional,tour-based
69295,2449,2662,DHL,conventional,tour-based
69295,2662,2272,DHL,conventional,tour-based
69310,2290,4604,DPD,conventional,tour-based
69310,4604,2272,DPD,conventional,tour-based
69335,2449,2668,PostNL,conventional,tour-based
69335,2668,2272,PostNL,conventional,tour-based
69392,2434,4604,DPD,conventional,tour-based
69392,4604,2273,DPD,conventional,tour-based
69418,2441,2668,PostNL,conventional,tour-based
69418,2668,2273,PostNL,conventional,tour-based
69425,2341,2668,PostNL,conventional,tour-based
69425,2668,2273,PostNL,conventional,tour-based
69429,2316,2668,PostNL,conventional,tour-based
69429,2668,2273,PostNL,conventional,tour-based
69522,2402,4604,DPD,conventional,tour-based
69522,4604,2276,DPD,conventional,tour-based
69581,2282,2662,DHL,conventional,tour-based
69581,2662,2278,DHL,conventional,tour-based
69610,2399,2668,PostNL,conventional,tour-based
69610,2668,2278,PostNL,conventional,tour-based
69629,2271,2662,DHL,conventional,tour-based
69629,2662,2279,DHL,conventional,tour-based
69634,2481,2668,PostNL,conventional,tour-based
69634,2668,2279,PostNL,conventional,tour-based
69638,2420,3362,UPS,conventional,tour-based
69638,3362,2279,UPS,conventional,tour-based
69647,2457,2662,DHL,conventional,tour-based
69647,2662,2280,DHL,conventional,tour-based
69686,2420,3362,UPS,conventional,tour-based
69686,3362,2280,UPS,conventional,tour-based
69762,2467,4604,DPD,conventional,tour-based
69762,4604,2283,DPD,conventional,tour-based
69765,2408,5514,GLS,conventional,tour-based
69765,5514,2283,GLS,conventional,tour-based
69770,2324,2668,PostNL,conventional,tour-based
69770,2668,2283,PostNL,conventional,tour-based
69934,2432,2668,PostNL,conventional,tour-based
69934,2668,2290,PostNL,conventional,tour-based
69944,2447,2668,PostNL,conventional,tour-based
69944,2668,2290,PostNL,conventional,tour-based
69954,2408,2668,PostNL,conventional,tour-based
69954,2668,2290,PostNL,conventional,tour-based
69963,2431,2668,PostNL,conventional,tour-based
69963,2668,2290,PostNL,conventional,tour-based
69975,2401,2668,PostNL,conventional,tour-based
69975,2668,2290,PostNL,conventional,tour-based
69991,2468,2668,PostNL,conventional,tour-based
69991,2668,2290,PostNL,conventional,tour-based
69997,2406,3362,UPS,conventional,tour-based
69997,3362,2290,UPS,conventional,tour-based
70025,2469,2662,DHL,conventional,tour-based
70025,2662,1044,DHL,conventional,consolidated
70025,1044,2291,DHL,conventional,tour-based
70113,2331,1044,DHL,conventional,tour-based
70113,1044,2662,DHL,conventional,consolidated
70113,2662,2292,DHL,conventional,tour-based
70121,2324,1044,DHL,conventional,tour-based
70121,1044,2662,DHL,conventional,consolidated
70121,2662,2292,DHL,conventional,tour-based
70138,2313,1044,DHL,conventional,tour-based
70138,1044,2662,DHL,conventional,consolidated
70138,2662,2292,DHL,conventional,tour-based
70167,2447,5514,GLS,conventional,tour-based
70167,5514,2292,GLS,conventional,tour-based
70210,2420,2668,PostNL,conventional,tour-based
70210,2668,2292,PostNL,conventional,tour-based
70253,2457,3362,UPS,conventional,tour-based
70253,3362,2292,UPS,conventional,tour-based
70260,2342,3362,UPS,conventional,tour-based
70260,3362,2292,UPS,conventional,tour-based
70265,2345,2662,DHL,conventional,tour-based
70265,2662,2293,DHL,conventional,tour-based
70273,2457,2662,DHL,conventional,tour-based
70273,2662,2293,DHL,conventional,tour-based
70320,2265,2668,PostNL,conventional,tour-based
70320,2668,2293,PostNL,conventional,tour-based
70327,2420,2668,PostNL,conventional,tour-based
70327,2668,2293,PostNL,conventional,tour-based
70407,2340,2668,PostNL,conventional,tour-based
70407,2668,2294,PostNL,conventional,tour-based
70492,2468,4604,DPD,conventional,tour-based
70492,4604,2295,DPD,conventional,tour-based
70503,2345,4604,DPD,conventional,tour-based
70503,4604,2295,DPD,conventional,tour-based
70520,2375,2668,PostNL,conventional,tour-based
70520,2668,2295,PostNL,conventional,tour-based
70525,2385,2668,PostNL,conventional,tour-based
70525,2668,2295,PostNL,conventional,tour-based
70529,2364,2668,PostNL,conventional,tour-based
70529,2668,2295,PostNL,conventional,tour-based
70572,2420,2668,PostNL,conventional,tour-based
70572,2668,2295,PostNL,conventional,tour-based
70577,2293,2668,PostNL,conventional,tour-based
70577,2668,2295,PostNL,conventional,tour-based
70579,2460,2668,PostNL,conventional,tour-based
70579,2668,2295,PostNL,conventional,tour-based
70618,2266,2662,DHL,conventional,tour-based
70618,2662,2296,DHL,conventional,tour-based
70633,2375,2662,DHL,conventional,tour-based
70633,2662,2296,DHL,conventional,tour-based
70687,2451,4604,DPD,conventional,tour-based
70687,4604,2296,DPD,conventional,tour-based
