ORIG,DEST,NSTR,TonnesYear
NL111,NL111,0,69439.202
NL111,NL112,0,5792.067
NL111,NL113,0,5465.301
NL111,NL121,0,301.847
NL111,NL122,0,0.0
NL111,NL123,0,1365.662
NL111,NL131,0,44091.552
NL111,NL132,0,285.126
NL111,NL133,0,0.0
NL111,NL211,0,1325.125
NL111,NL212,0,0.0
NL111,NL213,0,198.419
NL111,NL221,0,824.764
NL111,NL224,0,0.0
NL111,NL225,0,0.0
NL111,NL226,0,0.0
NL111,NL230,0,0.0
NL111,NL310,0,0.0
NL111,NL321,0,9773.024
NL111,NL322,0,0.0
NL111,NL323,0,0.0
NL111,NL324,0,0.0
NL111,NL325,0,0.0
NL111,NL326,0,173.237
NL111,NL327,0,384.728
NL111,NL332,0,0.0
NL111,NL333,0,0.0
NL111,NL337,0,103.073
NL111,NL338,0,147.572
NL111,NL339,0,77.948
NL111,NL33A,0,0.0
NL111,NL341,0,0.0
NL111,NL342,0,0.0
NL111,NL411,0,12039.748
NL111,NL412,0,0.0
NL111,NL413,0,576.157
NL111,NL414,0,2947.148
NL111,NL421,0,0.0
NL111,NL422,0,0.0
NL111,NL423,0,0.0
NL111,BE,0,0.0
NL111,DE,0,56506.026
NL111,FR,0,0.0
NL112,NL111,0,1401.823
NL112,NL112,0,2588.481
NL112,NL113,0,22178.702
NL112,NL121,0,1302.495
NL112,NL122,0,1830.411
NL112,NL123,0,172.591
NL112,NL131,0,1965.565
NL112,NL132,0,0.0
NL112,NL133,0,0.0
NL112,NL211,0,279.554
NL112,NL212,0,1526.623
NL112,NL213,0,0.0
NL112,NL221,0,0.0
NL112,NL224,0,0.0
NL112,NL225,0,317.3
NL112,NL226,0,0.0
NL112,NL230,0,14109.249
NL112,NL310,0,0.0
NL112,NL321,0,0.0
NL112,NL322,0,0.0
NL112,NL323,0,3156.397
NL112,NL324,0,0.0
NL112,NL325,0,0.0
NL112,NL326,0,0.0
NL112,NL327,0,0.0
NL112,NL332,0,0.0
NL112,NL333,0,223.166
NL112,NL337,0,0.0
