COROP,Xcoor,Ycoor,AREANR
1,265228,568102,99999901
2,251767,594518,99999902
3,231141,588429,99999903
4,183937,585084,99999904
5,166822,553753,99999905
6,199424,555288,99999906
7,235151,556232,99999907
8,254444,535056,99999908
9,220202,530998,99999909
10,212849,513200,99999910
11,212458,484365,99999911
12,244996,481551,99999912
13,184241,471883,99999913
14,225672,450362,99999914
15,189488,436378,99999915
16,150652,431026,99999916
17,140318,456412,99999917
18,124132,536714,99999918
19,112153,517819,99999919
20,105893,502308,99999920
21,102173,487954,99999921
22,115233,498938,99999922
23,118857,488909,99999923
24,137697,474314,99999924
25,96224,468923,99999925
26,85763,454323,99999926
27,78144,444890,99999927
28,109709,455070,99999928
29,83965,430029,99999929
30,117577,430731,99999930
31,43042,370497,99999931
32,49578,396577,99999932
33,97490,398734,99999933
34,128398,401479,99999934
35,166500,408968,99999935
36,163963,380894,99999936
37,200085,386322,99999937
38,189128,356959,99999938
39,188439,321662,99999939
40,169116,504345,99999940
41,112068,287212,99999941
42,504505,352935,99999942
43,-61311,75000,99999943
