ZONE,LS0,LS1,LS2,LS3,LS4,LS5,LS6,LS7,TOT_WEIGHT
1,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
2,4.5,1.5,1.6337042852376276,0.0,0.0,4.5,0.0,4.5,16.633704285237627
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,1.6058495794100764,0.0,0.0,0.0,0.0,0.0,1.6058495794100764
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.810538343925995,9.5,3.0,46.0,1.5,3.0,0.0,6.0,70.810538343926
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,8.0,0.0,0.0,0.0,0.0,15.0,23.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,3.0,26.0,9.0,27.5,0.0,4.5,0.0,40.5,110.5
26,0.0,0.0,1.5,8.0,0.0,0.0,0.0,0.0,9.5
27,0.0,1.5,0.0,1.5,0.0,4.5,0.0,8.0,15.5
28,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,9.5,15.0,0.0,1.5,0.0,0.0,12.0,38.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.5016427846618299,4.5,7.5,9.5,0.0,1.5,0.0,8.0,32.501642784661826
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,1.5,0.0,1.5,0.0,0.0,3.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
47,4.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.5
