,1,2,3,4,5,6,7,8
Interval_1,0_8,0_8,0_8,0_8,0_8,0_8,0_8,0_8
Interval_2,8_11,8_11,8_11,8_11,8_11,8_11,8_11,8_11
Interval_3,11_16,11_16,11_16,11_16,11_16,11_16,11_16,11_16
Interval_4,16_19,16_19,16_19,16_19,16_19,16_19,16_19,16_19
Interval_5,19_24,19_24,19_24,19_24,19_24,19_24,19_24,19_24
ASC_1,-0.643,-0.4375,-2.6803,-0.3093,-0.1327,-1.2946,-0.2756,2.0011
ASC_2,-2.0975,-3.0886,-2.9814,-1.99,0.1716,0.9144,-2.2349,0.6734
ASC_3,-1.1736,-1.2516,-0.7957,-0.1863,-0.526,0.877,-1.5081,0.4343
ASC_4,-1.1,-0.4712,0.262,-0.4439,-0.6558,-1.255,-1.8677,0.4874
ASC_5,0,0,0,0,0,0,0,0
DurTimePeriod,1,1,1,1,1,1,1,1
ToTT_1,5.2739,0.1086,4.0765,-1.0298,-1.4766,0,-0.6786,-0.6519
ToTT_2,3.6135,-0.4686,2.9791,-0.5987,-2.4082,0,0.6078,-1.2913
ToTT_3,1.297,-0.799,1.3847,-0.4164,-1.1641,0,0.615,0.2553
ToTT_4,0,1.1596,1.1799,-0.932,0,0,0,-0.3425
ToTT_5,0,0,0,0,0,0,0,0
ToPC_1,1.5449,1.4342,1.0937,0.2718,0.4309,0.7218,0.848,0
ToPC_2,1.6741,1.0217,0.9533,-0.0924,0,0.7209,0,0
ToPC_3,1.1997,0.5381,0.5222,-0.8688,-0.802,0.0115,0,0
ToPC_4,1.4039,0.1431,0.8265,-0.2188,-0.3574,0.7369,0,0
ToPC_5,0,0,0,0,0,0,0,0
FromTT_1,0,-0.2012,3.259,0.4302,0,0,0,-0.5014
FromTT_2,1.8249,2.9504,3.6072,1.0326,0,0,0,2.0993
FromTT_3,0,1.6029,0,-0.1849,0,0,0,1.1429
FromTT_4,-2.83,0.716,0,0.072,0,0,0,0.4008
FromTT_5,0,0,0,0,0,0,0,0
FromPC_1,0,-1.0492,0,0,-0.2819,0.2835,0,0.6389
FromPC_2,0,0.345,-1.0301,0,0.7823,0.6191,0,1.3763
FromPC_3,0,-0.1866,-1.3711,0,0.1889,-0.3689,0,1.1188
FromPC_4,0,-0.219,-1.0859,0,-0.1274,-0.7447,0,0.1802
FromPC_5,0,0,0,0,0,0,0,0
VT_SmallTruck_1,1.4644,1.5245,3.5988,-0.5132,0,0,0,0
VT_SmallTruck_2,4.6621,5.8303,4.2557,3.6851,0,0,0,2.6031
VT_SmallTruck_3,1.2076,2.1457,0.6921,0.0119,0,0,0,3.0807
VT_SmallTruck_4,-2.7606,-0.399,-1.9148,-1.3324,0,0,0,-0.9863
VT_SmallTruck_5,0,0,0,0,0,0,0,0
VT_MediumTruck_1,-2.6308,1.4303,0.2462,1.3732,0,1.9863,0,0
VT_MediumTruck_2,-2.0692,1.898,-0.7749,2.6662,0,-1.7282,0,0
VT_MediumTruck_3,-2.7436,-0.0672,-1.3385,0.7676,0,-0.6057,0,0
VT_MediumTruck_4,-2.5091,-0.6489,-2.7611,0.1161,0,0.4561,0,0
VT_MediumTruck_5,0,0,0,0,0,0,0,0
VT_TruckTrailer_1,-2.5308,0,1.5225,-0.2674,0,0,-1.9344,-4.7425
VT_TruckTrailer_2,-1.1955,0,0.4323,-1.5679,0,-3.2931,0,-3.732
VT_TruckTrailer_3,-0.2353,0,-0.078,0,0,1.5711,0,-3.7751
VT_TruckTrailer_4,0.7735,0,-0.9029,1.4949,0,0,1.1468,-1.7591
VT_TruckTrailer_5,0,0,0,0,0,0,0,0
VT_TractorTrailer_1,0,0.7927,1.8131,-1.1395,-0.5753,1.1413,0,-2.7936
VT_TractorTrailer_2,-0.4431,2.3799,2.5984,-0.0293,-1.3404,-1.9923,0,-1.7878
VT_TractorTrailer_3,-0.3948,0.2764,2.9952,-0.599,-0.2785,-1.4274,0,-1.9554
VT_TractorTrailer_4,-0.2083,-0.5439,1.6251,-0.8437,-1.4112,0,0,-2.0145
VT_TractorTrailer_5,0,0,0,0,0,0,0,0
