ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
7	99999916	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
14	7246	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
14	99999934	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
14	99999942	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
25	6491	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
49	6553	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
49	99999942	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
74	1764	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
82	7115	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
92	4612	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
114	2919	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
121	99999923	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	230	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	871	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
139	2174	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6529	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6561	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	99999923	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999934	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999941	0	0	1	1	0	1	0	0	0	0	0	0	1	2	0	0	0	0	3
139	99999942	1	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	3
149	5345	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
